title,seller,property_type,address,price,bedrooms,bathrooms,built_area,land_area,description,publication_date,zip_code,parking
"SE VENDE INMUEBLE  IDEAL PARA NEGOCIO Y VIVIENDA,Nuroa",Nuroa,Casa,montoya,2350000.0,6.0,2.0,220.0,139.0,"Una Gran oportunidad para invertir y ubicar tu propio negocio, esta propiedad está  a 3 cuadras de PLAZA BELLA en el Fraccionamiento Montoya.Enfrente hay un parque y alrededor varios negocios de diferentes giros comerciales.PLANTA BAJA:CocinaSalaComedor2 RecamarasLocal comercial Cochera para un vehículo Baño completoPatio de servicioCisterna 7500 Lts.Pasillo lateral de servicioPLANTA ALTA:4 recamaras Un baño completo 1/2 Baño Entrada independiente Corredor amplioCalentador solar en azotea Adquiere el hogar que estás buscando, agenda tu visita al,. EasyBroker ID: EB-NV6065","Hace 2 semanas, 5 días - Publicado por Hgrie grupo inmobiliario",68143.0,1.0
"SE VENDE CASA EN FRACCIONAMIENTO LA JOYA,Nuroa",Nuroa,Casa en Fraccionamiento,lazaro cardenas 1a secc,1299000.0,3.0,1.0,80.0,80.0,"ESTA BONITA CASA CUENTA CON LO SIGUIENTE  3 recámaras  2 Baños  Patio de servicio  cisterna de 5mil litros  Cajón de estacionamiento  Sala - Comedor  Cocina $1,299,000Dentro de fraccionamiento","Hace 2 semanas, 5 días - Publicado por Bienes Raíces Oaxaca",68140.0,1.0
"EN VENTA CASA 4 RECAMARAS LOMAS DEL CRESTON CERCA ISSSTE OAXACA,Nuroa",Nuroa,Casa,lomas del creston,8900000.0,4.0,4.0,463.0,200.0,"HERMOSA RESIDENCIA UBICADA EN ZONA DE GRAN PLUSVALIAUBICADA EN LOMAS DEL CRESTON.CARACTERISTICAS:COCHERA PARA 2 AUTOSPORTON AUTOMATICO.PATIO C/CISTERNA 9MIL LTS.BARDAS ELECTRIFICADASVIDEO PORTEROPRIMER NIVEL: ESTANCIA ILUMINADA CON LAMPARAS LEDS, BALCON CON VISTA AGRADABLEAMPLIO COMEDOR CON MUY BUENA ILUMINACION, PISOS ESTILO AMADERADO, VENTANALES AMPLIOS Y BALCONCOCINA EQUIPADA CON ALACENAS, ISLA CON PARRILLA Y CAMPANA COLGANTE(Video portero)BONITA Y AMPLIA TERRAZAMEDIO BAÑOSUBNIVEL:2 RECAMARAS AMPLIAS CON CLOSETS, CON PATIO TERRAZA Y JARDINERASBAÑO COMPLETO EN CADA RECAMARATERCER NIVEL:1 RECAMARA PRINCIPAL CON AMPLIO VESTIDOR.VENTANALES AMPLIOS, BALCON.1 BAÑO COMPLETO.1 RECAMARA CON CLOSET Y BALCON CON AGRADABLE VISTA.1 BAÑO COMPLETO.1 AREA DE LAVADO CON BAÑO COMPLETO.1 PATIO PARA TENDIDOCUARTO NIVEL:2 ROOF GARDEN CON AGRADABLE VISTA PANORAMICASUPERFICIE TERRENO: NORTE: 24.20, SUR: 23.71, ESTE: 9MTS, AL ORIENTE: 7 MTS2CONSTRUCCION: 463.52 MTS2Cercano a centros comerciales, bancos, colegios, hospitales, transportes.","Hace 2 semanas, 6 días - Publicado por Inmuebles Oaxaca",68024.0,2.0
"HERMOSA CASA EN VENTA EN LA COLONIA CASCADA,Nuroa",Nuroa,Casa,la cascada,4750000.0,3.0,3.0,239.0,239.0,"🔹HERMOSA CASA EN VENTA EN COLONIA LA CASCADA 🔹📌(Excelente ubicación)BIENVENIDOS LOS CREDITOS🔗239 M2Características🔸Planta baja:  ▪️Garage para un auto  ▪️Cuarto de servicio  ▪️Sala  ▪️Comedor  ▪️Cocina  ▪️Estudio  ▪️Medio baño  ▪️Patio trasero🔸Plata Alta:  ▪️1 Recámara principal con Closet/vestidor y baño  ▪️2 recámaras secundarias  ▪️1 baño completo  ▪️Cerca electrificada  ▪️Cámaras de seguridad  ▪️Tanque estacionario  ▪️Cisterna de 8,000 lt  🔖$ 4,750,000Aprovecha esta oportunidad en zona de Alta Plusvalia","Hace 2 semanas, 2 días - Publicado por Bienes Raíces Oaxaca",68040.0,1.0
"SE VENDE HERMOSA Y AMPLIA CASA EN DONAJI ZONA NORTE,Nuroa",Nuroa,Casa,volcanes,5300000.0,5.0,7.0,263.0,221.0,"🏡Hermosa casa en Venta en colonia Donaji zona norte de la ciudad, 🏡con amplio Jardin.🏡🔹Casa en esquina ▪️Terreno: 221.28 m2▪️construcción: 263.09 m2🔹$5,300,000Planta Baja✅Sala✅Comedor✅Cocina✅2 recamaras con baño✅1/2 baño✅Cuarto de lavado✅Área de Servicio✅Cochera para dos autosPLANTA ALTA✅1 Recamara con vestidor y baño✅2 recamaras con baño✅Sala de TV✅1/2 baño","Hace 2 semanas, 2 días - Publicado por Bienes Raíces Oaxaca",68020.0,1.0
"PROPIEDAD CON 6 DEPARTAMENTOS Y CASA - (3),Nuroa",Nuroa,Casa,reforma,30000000.0,10.0,10.0,760.0,839.0,"PROPIEDAD MUY BIEN UBICADA CON 6 DEPARTAMENTOS Y CASA, IDEAL PARA INVERSIONISTAS PREDIO CONSTRUIDO EN CUATRO BLOQUES, 1.-) UN EDIFICIO DE TRES NIVELES QUE TIENE EN PLANTA BAJA COCHERA Y LOS DOS NIVELES SUPERIORES UNOSDEPARTAMENTOS QUE CONSTAN DE UNA SALA, COMEDOR, COCINETA, UNA RECAMARA Y UN BAÑO COMPLETO, 2.-)CASA HABITACION EN UN SOLO NIVEL QUECONSTA DE ACCESO DE LA CALLE, RECIBIDOR, SALA FAMILIAR, COMEDOR, COCINA, PASILLO DISTRUBUIDOR, MEDIO BAÑO DE VISITAS, TRES RECAMARAS , UNBAÑO COMPLETO, RECAMARA PRINCIPAL CON BAÑO COMPLETO Y VESTIDOR, TERRAZA CUBIERTA Y AREAS DE JARDIN. 3.-) DEPARTAMENTOS DE UNA SOLARECAMARA CONSTRUIDOS EN DOS NIVELES CON ESTANCIA-COMEDOR,COCINA, ESCALERAS Y EN PLANTA ALTA UNA RECAMARA CON BAÑO COMPLETO. Y 4.-)DEPARTAMENTOS DE DOS RECAMARAS EN DOS NIVELES, Y CONSTAN EN PLANTA BAJA ESTANCIA, COMEDOR, COCINA, MEDIO BAÑO ESCALERAS Y EN PLANTAALTA DOS RECAMARAS CON AREAS DE CLOSETS Y UN BAÑO COMPLETO.ES UNA CONSTRUCCION DE TIPO TRADICIONAL, SE SUPONE CON CIMENTACIONES DE PIEDRA CANTERA Y CON ZAPATAS DE CONCRETO AISLADAS ARMADAS CONVARILLAS DE ACERO, MUROS DE LADRILLO ROJO RECOCIDO DE 14 CMS DE ESPESOR REPELLADOS Y PINTADOS, REFORZADOS CON CADENAS Y CASTILLOS DECONCRETO ARMADO, TECHOS DE LOSA DE CONCRETO ARMADO DE 12 CMS DE ESP. ARMADO CON VARILLAS DE 1/2"" y 3/8"" EN CLAROS LARGOS Y MEDIANOS,PISOS CON LOSETA VIDRIADA DE BUENA CALIDAD, ACABADO EN MUROS CON MEZCLA DE CEMENTO CAL ARENA CON ACABADO FINO Y YESO LISO, PINTADOSCON VINILICA, PLAFONES CON PINTURA VINILICA Y YESO LISO, PUERTAS DE INTERCOMUNICACION DE TAMBOR DE MADERA Y DE ANGULOS LIGEROS CONFORRO DE LAMINA, VENTANERIA DE ALUMINIO ANODIZADO, INSTALACIONES ELECTRICAS COMPLETAS Y OCULTAS POR PLAFON Y MUROS EN MANGERAPOLIDUCTO, INSTALACIONES SANITARIAS COMPLETAS Y OCULTAS, MUEBLES DE BAÑOS PORCELANIZADOS DE COLOR, REGISTROS REGLAMENTARIOS, AZOTEASCON EMULSION ASFALTICA Y TEJA, TINACOS DE TIPO ROTOPLAS, BARDAS COLINDANTES REPELLADAS CON MORTERO ACABADO RUSTICO Y PORTONES DEACCESO DE MADERA CON HERRAJES METALICO (3)","Hace 2 semanas, 3 días - Publicado por REMAX cantera",68050.0,1.0
"CASA NUEVA EN VENTA ZONA NORTE DE OAXACA,Nuroa",Nuroa,Casa,manuel sabino crespo,3950000.0,4.0,3.0,230.0,150.0,"PRECIOSA CASA NUEVA EN VENTA EN LA ZONA NORTE DE OAXACAUBICADA EN LA COLONIA MANUEL SABINO CRESPO PERTENECIENTE AL MUNICIPIO DE OAXACA DE JUAREZ.La casa ofrece en planta baja:  Cochera para dos autos, sala, comedor, cocina con cocina integral al alto brillo, jardín interior, patio de servicio, baño completo, recámara o estudio, escaleras para el primer nivel, recámara principal con closet amplio y baño completo propio, 2 recámaras secundarias, un segundo baño completo para el servicio de las recámaras secundarias, continuación de escaleras para el segundo nivel donde encontraremos el roof garden.La casa se entregará con pergola, tinaco de 1100 litros, gas estacionario, cisterna de 6500 litros,portón eléctrico de tres hojas y puerta peatonal con chapa electrica.ACEPTAMOS TODOS LOS CREDITOS Y CONTADO.Tramites gratuitos, se muestra previa cita.","Hace 2 semanas, 2 días - Publicado por Edith Miguel",68045.0,2.0
"AMPLIA CASA EN VENTA A 5 MINUTOS DE LA IGLESIA DESAN FELIPE,Nuroa",Nuroa,Casa,ejido guadalupe victoria,5300000.0,3.0,4.0,413.0,161.0,"🔰AMPLIA CASA EN VENTA EN EXCELENTE UBICACIÓN A 5 MINUTOS DE LA IGLESIA DE SAN FELIPE.CARACTERISTICAS:$5,300,000▪️TERRENO: 161 M2▪️CONSTRUCCION: 413 M2PRIMER NIVEL♦️ESTACIONAMIENTO TECHADO PARA 2 AUTOS♦️ESTANCIASEGUNDO NIVEL♦️AMPLIA E ILUMINADA AREA DE SALA COMEDOR♦️AMPLIA COCINA EQUIPADA♦️MEDIO BAÑO♦️PATIO DE SERVICIO♦️CUARTO DE SERVICIO CON BAÑO COMPLETO♦️CUBO DE LUZ NATURALTERCER NIVEL♦️AMPLIA RECAMARA PRICIPAL CON BAÑO COMPLETO, VESTIDOR Y CLIMA♦️2 RECAMARAS SECUNDARIAS CON CLOSET,  BAÑO COMPLETO Y CLIMA♦️ESTUDIO","Hace 1 semana, 5 días - Publicado por Fiabilidad e Inversion en Bienes Raíces",68277.0,2.0
"HERMOSA CASA EN VENTA EN SAN FELIPE DEL AGUA,Nuroa",Nuroa,Casa,san felipe del agua,11499000.0,5.0,5.0,500.0,200.0,"En Venta Casa en San Felipe del AguaCuenta con 3 Niveles y amplios espacios✅Primer nivel:▪️Cochera techada para 2 autos.▪️Cisterna de 10,000 litros.▪️Jardín el cual tiene sembrado un árbol representativo del estado, un Pochote.▪️Sala▪️Comedor▪️Cocina integral Incluye estufa y campana▪️Patio de servicio▪️Medio baño ▪️Estudio.✅Segundo nivel:▪️Recámara 1 con closet y baño completo.▪️Recámara 2 con vestidor y baño completo.▪️Recámara 3 con closet, baño completo y jardín en interior.▪️Recámara 4  con closet y baño completo.✅Tercer nivel:▪️Recámara 5 con closet y baño completo.▪️Cuarto de máquinas y área y cuarto de servicio▪️Área de alimentos▪️Medio baño.▪️Roof Garden amplió, la mayor parte techado.✅Adicionales:▪️En el techo de la recámara del 3 nivel están instalados el tinaco y gas estacionario.▪️Todas las recamaras y sala comedor cuentan con la preparación para clima.🏡220 metros de terreno.🏡500 metros de construcción.🔹Precio de venta: $ 11,499,000","Hace 1 semana, 5 días - Publicado por Fiabilidad e Inversion en Bienes Raíces",68026.0,2.0
"EN VENTA CASA EJIDO GUADALUPE VICTORIA 3 RECAMARAS OAXACA,Nuroa",Nuroa,Casa,ejido guadalupe victoria,5900000.0,3.0,3.0,280.0,200.0,"HERMOSA RESIDENCIA ubicada en Ejido Guadalupe VictoriaZona de plusvalía en zona norte de la ciudad.PRIMER NIVEL:Cochera para 2 AutosPortón autómaticoSala, comedor con ventanales ampliosagradable espacio en doble altura.Cocina integral1/2 baño1 espacio amplio para gimnasio o para adecuar a sus necesidadesCuarto de servicio con Baño completoArea de lavado (con lavadero)SEGUNDO NIVEL:1 Recamara principal con 1 baño completo y vestidor2 Recámaras con Closets y 1 baño completo compartidoCisterna 10 mil lts.Medidas: 10 x 20 = 200 m2Construcción: 280 m2Precio: $5,900,000","Hace 1 semana, 3 días - Publicado por Inmuebles Oaxaca",68277.0,2.0
