title,seller,property_type,address,price,bedrooms,bathrooms,built_area,land_area,description,publication_date
CASA EN SAN MARTIN A 2 KM DEL CENTRO DE LA CIUDAD,lamudi,Casa,"Emiliano Zapata, Oaxaca, Oaxaca",2100000,5,3,1,200,"¡EXCELENTE OPORTUNIDAD!! PROPIEDAD EN VENTA EN SAN MARTIN MEXICAPAM, EN EL MUNICIPIO DE OAXACA DE JUAREZ CON UNA EXCELENTE UBICACIÓN: 1.3 km del Periferico 2 Km del centro de la ciudad 1.4 Km de Plaza Bella  500 mts de Riveras de Atoyac Terreno 200 mts2 Inversión $2,100,000 Mas información al",20 abr 2023 - Publicado por Tu casa en Oaxaca
"Casa en venta 3 niveles, 10 recámaras, 9 baños, céntrica",lamudi,Casa,"Estrella, Oaxaca, Oaxaca",5700000,10,9,430,166,Hermosa casa ubicada alrededor de plazas comerciales y negocios. Se encuentra cerca de centros educativos de todos los niveles. Cuenta con todos los servicios y calles pavimentadas,20 abr 2023 - Publicado por Marino Bienes Raices
VENDO CASA 3 RECAMARAS 1 ESTUDIO COLONIA JARDIN OAXACA,lamudi,Casa,"Jardín, Oaxaca, Oaxaca",3200000,4,3,231,186,"casa en venta ubicada en colonia jardinConstruida con material tradicionalZona tranquila y urbanizadaColinda con colonia volcanes y san luis beltraristicas:Cochera para 1 auto1 estudioBaño completo1 patio.Cisterna 10,000 lts.Primer nivel:SalaComedorCocina integralPatio trasero1 baño completo1 estudio o RecámaraSegundo nivel:Recamara principal con balcon1 amplio vestidor con madera de pino.1 baño completo.2 recamaras con piso amaderado1 con balcon.Tercer nivel:1bodega o cuarto de servicioTecho impermeabilizado para adaptar una terrazaAgradable vista.Tinaco 1,100Tanque estacionario 300 lts.Cuenta con todos los serviciosPrevia cita",20 abr 2023 - Publicado por Inmuebles Oaxaca
"Casa en venta nueva de 3 recámaras, Terminal de Autobuses. Santa Cruz Xoxocotlán",lamudi,Casa en Condominio,"Estrella, Oaxaca, Oaxaca",2100000,3,1,90,135,"Venga a conocer maravillosa casa, lista para estrenarse! Chapa electrónica de código, huella y llave Iluminación automatizada por comandos de voz y dispositivos móviles Áreas comunes con cancha de football, cestas de basketball, gimnasio al aire libre y sanitrios Acceso controlado y vigilancias 24 horas",20 abr 2023 - Publicado por Marino Bienes Raices
"Se vende casa para negocio,Oaxaca,Centro.",lamudi,Casa,"Barrio Xochimilco, Oaxaca, Oaxaca",35000000,,,,725,"Propiedad con alta plusvalía , ubicado en la calle de Alcala esquina con calzada niños héroes de chapultepec, ideal para establecer un negocio. Cercano a jardín conzatti,hoteles, IMSS, tiendas de telefonía celular etc.Por la parte posterior tiene construcción destinadas a bodega de refacciones y baños para personal, y por la parte posterior una casa habitación con sala comedor, cocina, 3 recamaras, cada una con su baño. EasyBroker ID: EB-FQ3223",19 abr 2023 - Publicado por Hgrie grupo inmobiliario
"Rancho de los Anhelos en Venta, Banda de Oaxaca en San Miguel de Allende",lamudi,Casa,"Barrio Xochimilco, Oaxaca, Oaxaca",2000000,2,1,124,2629,"Sobre la carretera hacia la comunidad Banda en un camino tranquilo, está una propiedad de la que te quiero contar.En el centro de un terreno que mide 2,629.059 m2 están los comienzos de una casa que tiene por construcción 124.39 m2 con espacio para cocina, comedor, sala, 1 baño completo, y dos recamaras. El toque final con los acabados a tu gusto terminará de mostrarte  la casa de campo de tus sueños. Tienes la posibilidad de seguir construyendo en este espacio por el gran terreno que hay disponible, está lo bastante lejos para vivir tranquilo fuera del ruido de la ciudad y a la vez lo convenientemente cerca por su acceso fácil a carreteras principales hacia la ciudad.Como inversión también es excelente pudiendo desarrollar un proyecto de cabañas por ejemplo. Los servicios de agua y energía eléctrica están totalmente disponibles y a la mano.  La zona ya está habitada con familias de la comunidad y algunos comercios locales. El paso de transporte público durante el día también es una realidad en la zona.Muy cerca del río laja y de la Presita de Santa Rosa, es una zona con mucha agua.------------------------------------On the road to the Banda community on a quiet road, there is a property that I want to tell you about.In the center of a land that measures 2,629.059 m2 are the beginnings of a house that has a construction of 124.39 m2 with space for kitchen, dining room, living room, 1 full bathroom, and two bedrooms. The final touch with the finishes to your liking will finish showing you the country house of your dreams.You have the possibility to continue in this space due to the large land that is available, it is far enough to live quietly outside the noise of the city and at the same time it is conveniently close due to its easy access to main roads to the city.As an investment it is also excellent, being able to develop a cabin project for example. Water and electricity services are fully available and at hand. The area is already inhabited with families from the community and some local businesses. The passage of public transport during the day is also a reality in the area.Very close to the Laja River and the Presita de Santa Rosa, it is an area with a lot of water.*Cooperative Agent. EasyBroker ID: EB-JW4371",28 feb 2023 - Publicado por RESMA Real Estate / Bienes Raíces
Casa - Agencia Municipal Montoya,lamudi,Casa,"Estado de Oaxaca, Oaxaca, Oaxaca",1180000,,,,,"Venta de la casa en Fraccionamiento Álamos Geo, a 20 minutos del Centro Histórico y a 2 minutos de Plaza Bella, Liverpool, restaurantes y diferentes comercios a tu alcance, también se encuentra a pocosminutos del Tecnológico.",29 mar 2023 - Publicado por Altana Realty Group
Casa - Oaxaca Centro,lamudi,Casa,"Oaxaca Centro, Oaxaca, Oaxaca",3500000,3,1,90,,"En venta casa en el corazón de la ciudad de Oaxaca de Juárez, con un ubicación privilegiada a unas cuantas cuadras                    del zócalo, ideal para remodelarla y realizar el proyecto de tus sueños.",29 mar 2023 - Publicado por Altana Realty Group
LA CASA DE TUS SUEÑOS EN OAXACA,lamudi,Casa,"Fracc Colinas de la Soledad, Oaxaca, Oaxaca",1210000,,2,,300,"HERMOSA CASA EN UNA DE LAS MEJORES ZONAS, RODEADA DE TODOS LOS SERVICIOS",28 jun 2023 - Publicado por Ejecutivos hipotecarios - ISRA DOMINGUEZ
Casa - San Luis Beltran,lamudi,Casa,"Jardín, Oaxaca, Oaxaca",3000000,,,,,"Bonita y amplia cas, ubicada en un fraccionamiento seguro, cuenta con calentador solar, portón eléctrico, cerca de Volcanes a unas cuadras de la cancha de Básquet-bol en Donají, Comercios, Escuelas, Mercado y a tan sólo 15 minutos del Centro Histórico con constante afluencia vehicular.",29 mar 2023 - Publicado por Altana Realty Group
REMATO CASAS EN SANTA ROSA OAXACA DE JUAREZ,lamudi,Casa,"Santa Rosa Panzacola, Oaxaca, Oaxaca",5500000,,,,681,"Inmueble ubicad en Fraccionamiento los Sauces a solo unas cuadras del Mercado Zonal de Santa Rosa. CONSTA DE Casa de un solo nivel:-3 Recamaras -Sala/comedor-Cocina -3 Baño completos uno en cada habitacion -Patio de Servicio-Alberca / para rehabilitar -Amplio Jardín- amplio estacionamiento para 4 autos Bungalow Adjunto:-1 Recamara-1 Baño completo -Sala -CocinetaDepartamento 1 en planta alta -2 Recamaras-Sala/comedor -1 Baño completo  -CocinetaDentro  2   con salida independiente, el cual consta de:-Sala/comedor -Cocineta -2 Recamaras-1 Baño completo-Patio de servicio- jardin Cercanía con escuelas de nivel básico, media superior y superior (publicas y privadas), bancos, mercado zonal y de auto servicio.APLICA PARA CREDITOPRECIO NEGOCIABLE.Mayores informes, previa cita. EasyBroker ID: EB-CJ5462",9 may 2023 - Publicado por PROISA INMOBILIARIA
